NAME	DESCRIPTION	NI_V_1	NI_V_2	NI_V_3	NI_V_4	NI_V_5	I_V_1	I_V_2	I_V_3	I_V_4	I_V_5
ENSMUSG00000050088	NA	320.2348813	334.1569274	355.1262497	685.0957854	471.2405098	309.7757356	409.4948676	492.7071554	375.9937619	360.8979577
ENSMUSG00000050092	NA	4.494257491	4.523432999	8.739893352	5.133508296	6.203369666	9.232364195	29.04592042	24.86223699	20.33901682	13.99996697
ENSMUSG00000050097	NA	91.77250982	76.88661465	55.55322804	54.50900057	71.55737605	44.93307145	128.7039751	67.01350741	53.50284424	121.959014
ENSMUSG00000050100	NA	5.41025859	1.770259768	5.069955531	6.896945353	4.01976001	4.362317895	6.956462293	4.087568659	8.993265653	14.49806262
ENSMUSG00000050103	NA	422.2333524	698.8191367	854.8763344	1036.677511	1178.847151	320.1140257	340.1098309	503.4713175	468.6490095	316.5824255
ENSMUSG00000050105	NA	15.42332697	23.6366842	9.379178729	9.476715581	11.97436121	14.22222679	17.01554427	9.468573343	26.38185588	24.02870467
ENSMUSG00000050106	NA	149.635906	171.2544836	198.9577537	171.4626739	193.7257138	116.4137204	135.0006778	170.2910344	127.6907012	131.1776929
ENSMUSG00000050107	NA	111.2082437	61.31334356	96.98019195	78.76158736	82.97964431	70.07901006	61.13531449	68.69177677	86.6642091	71.86382738
ENSMUSG00000050108	NA	0	1.061288676	1.938558255	0	0	0	0	1.104693917	0	0
ENSMUSG00000050122	NA	7.312693005	21.34990324	3.166429793	1.496783748	0.917985398	4.92326558	19.32487444	4.552383975	12.58694976	5.456994005
ENSMUSG00000050132	NA	2.644781655	5.437304381	0	0	10.85722922	9.126795741	2.020049149	2.013128909	1.051504833	3.413073837
ENSMUSG00000050138	NA	0.712467063	0	0	0	1.066235232	0	0	0	0	0
ENSMUSG00000050141	NA	0	0.813078548	0.731807195	0	0.888923099	1.71760225	0	0	0.967448189	0
ENSMUSG00000050144	NA	558.2480721	713.4084601	798.8228041	582.3174236	853.5342338	475.7372681	439.5651454	635.6468118	518.4313013	599.1846518
ENSMUSG00000050147	NA	16.13827808	15.58156019	8.739971998	12.91351949	0	6.106351884	5.523236395	7.720332921	5.800820453	8.432660319
ENSMUSG00000050148	NA	277.0978385	347.1842502	240.9599322	98.89423203	175.467646	349.4467885	194.627433	131.2245945	190.1830247	314.924096
ENSMUSG00000050150	NA	1.185245665	0.864776716	3.756036913	3.11997064	1.756731598	0	0	0.591854331	0.610520497	3.185611743
ENSMUSG00000050158	NA	26.88719698	38.45465842	24.74577286	25.01351531	86.2527729	7.844980935	15.81871494	13.53989649	24.31364379	28.515387
ENSMUSG00000050164	NA	17.51295511	19.8436582	4.845327927	2.120536371	8.493101206	4.085119571	1.109674807	6.634999411	8.034402477	4.951669944
ENSMUSG00000050174	NA	25.39443684	34.43317928	32.56249446	48.10184453	35.69416272	33.69345737	23.7435521	27.86401034	54.70885306	50.54848554
ENSMUSG00000050188	NA	58.15068543	85.26370395	67.42842747	209.6137061	65.67485897	59.34642482	138.1427315	81.35832683	149.3662664	68.11401242
ENSMUSG00000050192	NA	47.56901628	25.26175217	22.98972924	20.58175968	17.28463173	44.24302365	59.52784408	35.00672345	19.87422053	28.73129855
ENSMUSG00000050195	NA	5.57723874	7.408777641	3.791399461	6.045813446	3.126277587	8.432351967	6.332239687	1.074119862	3.329126055	8.985751237
