"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0042579","GO:0042579","microbody","29/1549","139/15743",7.28029140365173e-05,0.00186687569930455,0.0016807999837579,"Mvd/Cav1/Acaa1b/Tysnd1/Acsl6/Acox1/Eci3/Acox2/Ephx2/Amacr/Ehhadh/Nudt12/Isoc1/Vim/Cat/Abcd3/Uox/Idh2/Pex11a/Far1/Abcd1/Acsl3/Rab8b/Mavs/Baat/Lacc1/Acot4/Acnat1/Acad11",29
"GO:0034707","GO:0034707","chloride channel complex","11/1549","30/15743",7.5222097774176e-05,0.00186687569930455,0.0016807999837579,"Clcn2/Slc26a6/Clic5/Ttyh1/Ano1/Ttyh3/Clic4/Best1/Ano2/Cldn4/Ano6",11
"GO:0001891","GO:0001891","phagocytic cup","9/1549","22/15743",0.000127890927504524,0.00303601940945523,0.00273341250089761,"Lcp1/Sh3bp1/Aif1/Tnf/Arhgap25/Tlr4/Arhgap12/Ticam2/Rab31",9
"GO:0005884","GO:0005884","actin filament","25/1549","121/15743",0.000260938764143775,0.00584029586748359,0.00525818039351231,"Gdpd2/Cobl/Pdlim4/Lcp1/Dyrk1a/Twf2/Myo1f/Aif1/Anxa1/Myo1a/Pstpip2/Tpm3/Tmod1/Tpm4/Cotl1/Acta1/Gas7/Pof1b/Gng12/Fmn1/Pls1/Ezr/Actc1/Dusp22/Wipf3",25
"GO:0030430","GO:0030430","host cell cytoplasm","7/1549","15/15743",0.000278109327023028,0.00584029586748359,0.00525818039351231,"Aqp1/Gbp3/Gbp2/Gbp2b/Lman1/Iigp1/Sco1",7
"GO:0033655","GO:0033655","host cell cytoplasm part","7/1549","15/15743",0.000278109327023028,0.00584029586748359,0.00525818039351231,"Aqp1/Gbp3/Gbp2/Gbp2b/Lman1/Iigp1/Sco1",7
"GO:0070062","GO:0070062","extracellular exosome","17/1549","71/15743",0.00041456573087185,0.00838344033540851,0.00754784391100015,"Aqp1/Slc2a4/Rab4a/Ace/Anxa1/Cubn/Sord/Prom1/Aoc1/Cd9/Aldoa/Tmem98/Xpnpep2/Icam1/Serpine1/Anpep/Gprc5a",17
"GO:0018995","GO:0018995","host cellular component","8/1549","22/15743",0.000780297698312743,0.0142014181092919,0.012785930705686,"Axl/Aqp1/Gbp3/Gbp2/Gbp2b/Lman1/Iigp1/Sco1",8
"GO:0033643","GO:0033643","host cell part","8/1549","22/15743",0.000780297698312743,0.0142014181092919,0.012785930705686,"Axl/Aqp1/Gbp3/Gbp2/Gbp2b/Lman1/Iigp1/Sco1",8
"GO:0043657","GO:0043657","host cell","8/1549","22/15743",0.000780297698312743,0.0142014181092919,0.012785930705686,"Axl/Aqp1/Gbp3/Gbp2/Gbp2b/Lman1/Iigp1/Sco1",8
"GO:0071437","GO:0071437","invadopodium","6/1549","13/15743",0.000837975943361879,0.0147591891959866,0.0132881074889643,"Pdpn/Fscn1/Msn/Nox1/Dpp4/Ezr",6
"GO:0030175","GO:0030175","filopodium","19/1549","89/15743",0.000904052133564684,0.0154253895289474,0.0138879061307469,"Kcnn3/Iqgap2/Lcp1/Fgd4/Cxadr/Twf2/Vil1/Itgav/Vcam1/Pdpn/Fscn1/Vasp/Ttyh1/Fgf13/Msn/Mtm1/Fzd9/Ezr/Syne2",19
"GO:0009925","GO:0009925","basal plasma membrane","11/1549","40/15743",0.00126652281678141,0.020955195695838,0.0188665440330756,"Aqp1/Cav1/Ager/Egfr/Ace/Slc23a1/Myo1a/Slco3a1/Slco2b1/Cldn4/Ank3",11
"GO:0065010","GO:0065010","extracellular membrane-bounded organelle","6/1549","14/15743",0.00134490151229945,0.0215975360504558,0.0194448608744223,"Aqp1/Gbp3/Gbp2/Gbp2b/Phospho1/Iigp1",6
