"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043656","GO:0043656","intracellular region of host","7/1718","18/15743",0.00195095279259729,0.0243869099074661,0.0214738739871692,"Aqp1/Gbp3/Gbp2/Gbp2b/Lman1/Iigp1/Sco1",7
"GO:0065010","GO:0065010","extracellular membrane-bounded organelle","6/1718","14/15743",0.00231425875135589,0.0278153369742056,0.0244927726949069,"Aqp1/Gbp3/Gbp2/Gbp2b/Phospho1/Iigp1",6
"GO:0020005","GO:0020005","symbiont-containing vacuole membrane","5/1718","10/15743",0.00241872495427875,0.0278153369742056,0.0244927726949069,"Aqp1/Gbp3/Gbp2/Gbp2b/Iigp1",5
"GO:0043256","GO:0043256","laminin complex","5/1718","10/15743",0.00241872495427875,0.0278153369742056,0.0244927726949069,"Ntn4/Lama3/Lamc2/Lamb3/Lama1",5
"GO:0098533","GO:0098533","ATPase dependent transmembrane transport complex","5/1718","10/15743",0.00241872495427875,0.0278153369742056,0.0244927726949069,"Abcg8/Atp1b1/Atp1a1/Abcg5/Atp1a3",5
"GO:0009925","GO:0009925","basal plasma membrane","11/1718","40/15743",0.00292063156775647,0.0329286892443132,0.0289953309409879,"Aqp1/Cav1/Ager/Egfr/Ace/Slc23a1/Myo1a/Slco3a1/Slco2b1/Cldn4/Ank3",11
"GO:0044853","GO:0044853","plasma membrane raft","23/1718","117/15743",0.00362281545361026,0.040059978573575,0.0352747820483105,"Itgb2/Lcp2/Lipe/Hck/Aqp1/Hmox1/Cav1/Pld2/Sorbs1/Myo1a/Atp1b1/Lrp8/Slc2a1/Itgam/Ptgs2/Atp1a1/Plvap/Hk1/Cavin2/Selplg/Cd177/Ezr/Adtrp",23
"GO:0001931","GO:0001931","uropod","5/1718","11/15743",0.00403797080685639,0.0429969113693041,0.0378608958693552,"Bst1/Msn/Selplg/Ezr/Scimp",5
"GO:0031254","GO:0031254","cell trailing edge","5/1718","11/15743",0.00403797080685639,0.0429969113693041,0.0378608958693552,"Bst1/Msn/Selplg/Ezr/Scimp",5
"GO:0045178","GO:0045178","basal part of cell","14/1718","60/15743",0.00444769077396559,0.046392891381132,0.0408512233488778,"Aqp1/Cav1/Ager/Itga2/Egfr/Ace/Slc23a1/Myo1a/Slco3a1/Slco2b1/Cldn4/Phldb1/Prcp/Ank3",14
"GO:0030139","GO:0030139","endocytic vesicle","30/1718","168/15743",0.00451826420407547,0.046392891381132,0.0408512233488778,"Tcirg1/Cybb/Rab11fip4/Rab32/Egfr/Evl/Amn/Syk/Adam8/Slc11a1/Cubn/Vim/Pld1/Anxa3/Dpp4/Ccl2/Unc93b1/Rab8b/Rab11fip3/Lpar1/Stx11/Sh3kbp1/Tlr1/Mpeg1/Pld4/Cemip/Ffar4/Rab31/Capg/Arrb2",30
