Row,iCD_PC1,iCD_PC2,iCD_PC3,iCD_PC4,iCD_PC5,iCD_PC6,iCD_PC7,iCD_PC8,iCD_PC9,iCD_PC10,iCD_PC11,iCD_PC12,iCD_PC13,iCD_PC14,iCD_PC15,iCD_PC16
ADCY8,0.026602167,0.014615014,0.010969133,-0.012929108,-0.015823135,-0.002132027,0.008139552,0.005637883,0.005068583,-0.009540593,0.001855381,-0.005915334,-0.002151772,-0.021926026,0.007989625,0.007370185
ADGRA3,-0.01420257,0.033029757,-0.003181802,0.025433955,-0.003264868,-0.00968354,-0.013825066,0.027018696,-0.004453786,-0.037336413,-0.012831411,0.000520928,-0.000481637,0.017135722,-0.009284445,-0.000711218
ADGRD1,-0.015225609,0.032533923,-0.00754918,0.023706541,-0.007778403,-0.008070053,-0.023828351,0.008279053,-0.001107832,-0.026907046,-0.02684081,0.012328084,0.016409022,0.012545825,0.007055028,-0.00897985
ADGRF1,-0.012526124,-0.001940093,-0.024676481,-0.013453986,-0.017092193,-0.002357427,0.041809387,-0.031609173,0.002001025,0.019478306,0.017353334,-0.009242792,0.003977578,0.012460858,-0.027356046,-0.021974223
ADGRG1,-0.027809255,-0.00509032,-0.029206379,-0.012489951,-0.003508453,-0.010664131,-0.025087851,-0.007288413,-0.006496469,-0.003363348,-0.009154457,0.000263526,-0.017758952,-0.005356428,-0.014286589,0.020820376
ADGRG4,-0.001669304,-0.002044742,-0.029934912,0.039543163,0.016934584,0.002350765,-0.011860343,-0.019430506,0.012929207,0.019861202,0.006331865,0.013155741,-0.006763571,-0.01694121,-0.003308309,0.010112736
ADGRG6,-0.017753194,-0.000814128,-0.027578852,-0.016183871,-0.00982549,0.004193681,0.032291492,-0.013360279,-0.021153889,0.032069652,4.75E-05,-0.023525757,0.015004819,-0.014813148,-0.005768218,-0.020462498
ADH1C,-0.004678031,-0.018785525,-0.019646091,0.001014454,0.033656877,0.014439397,-0.007124771,-0.004862114,-0.031872472,0.028800574,-0.005311336,-0.012680148,-0.015460804,0.002985837,0.024232829,-0.006402079
ADH4,-0.016983862,-0.025739195,0.00350441,0.008552247,-0.012362155,0.032535853,0.001263987,-0.03113288,-0.008399409,0.031845705,-0.015882643,0.000513874,0.016422949,0.002988789,-0.012874437,-0.004074068
ADH7,-0.00948104,-0.032691407,-0.016561677,0.009613513,0.005952238,0.000704161,-0.02976849,0.006162159,-0.012899437,0.016083273,0.030791017,0.010095262,-0.011546807,0.000165309,-0.015156564,-0.028995663
ADIPOQ,-0.001573109,-0.01180629,0.000204633,-0.00410593,0.029964361,0.00235298,-0.016965814,0.007363007,0.018611291,-0.042755257,-0.02142795,-0.009987432,-0.029209962,-0.007938548,-0.042642949,-0.019926059
ADIPOR2,0.006081379,-0.025972617,-0.017151069,-0.000528658,-0.015378982,0.003439377,-0.029135875,0.025908507,-0.023357076,-0.008274567,-0.002369645,-0.013899321,0.028011842,-0.003290276,0.005707257,-0.040711832
ADK,-0.027785363,0.010745071,0.005462561,-0.007507387,-0.01761198,0.02655323,-0.005576945,-0.023171211,-0.012618553,-0.009131753,0.010345166,-0.017108219,0.001606889,0.012097953,-0.019123686,-0.010246745
ADPRM,0.014890135,-0.007015635,0.005987515,-0.013168538,0.004730322,-0.013894998,-0.020426656,-0.009137128,-0.007289522,-0.015680806,0.024537871,0.017169936,-0.013343793,0.017947745,0.0228346,0.034179097
ADRB3,-0.005493614,-0.026974816,0.023849526,0.012975038,-0.007730065,0.012890115,-0.029634209,0.01157937,-0.017545229,0.006615032,-0.013154296,0.016303629,0.002162799,0.024033059,-0.036758582,-0.005553715
ADTRP,-0.004389558,0.027942915,-0.034577374,0.005525978,-0.027526663,0.010065396,0.002004463,-0.00603259,-0.000727102,-0.019994365,-0.005016466,-0.020540709,0.017929537,0.001548782,0.008368552,-0.011992751
AEBP2,-0.014514958,0.002026722,0.034627818,0.022859631,-0.032181388,-0.008685428,0.003268937,0.004568225,0.002676212,0.002088971,-0.005995241,-0.013613987,-0.000673759,-0.012675249,-0.002497971,6.39E-05
AFAP1L1,-0.009635015,-0.02351992,-0.003607224,0.014415363,0.000504356,0.013858725,-0.000841297,0.002068917,0.012820156,-0.002574118,0.001110606,0.003266003,-0.030741985,-0.043597023,0.012226282,-0.002458522
AFF3,3.66E-05,-0.011407984,0.04534087,0.015905339,-0.008013111,-0.014630315,-0.001856602,-0.021399874,-0.017884285,0.019208865,0.008050172,-0.006718277,-0.004636742,0.001951325,0.000421949,0.001104883
AGA,0.012700144,0.032248717,-0.002881256,0.012015122,0.013351293,0.032426647,-0.003195612,-0.014771766,0.009554272,0.004336218,0.029850472,-0.022748518,-0.005826794,0.028377132,-0.002190142,-0.007444119
AGER,0.007950449,-0.001226371,-0.011672524,0.007221587,0.043066258,0.002520778,-0.000908028,-0.012043688,-0.017959002,0.009516833,0.009126132,0.0217405,0.00213248,-0.000770383,0.023540883,-0.046738242
AGL,-0.00253194,-0.006684871,0.005745919,0.045964533,0.000111056,-0.003247357,0.021027324,-0.015595957,-0.008815504,-0.030383872,-0.009826499,0.012225319,-0.002868408,-0.003956407,0.008902858,0.010891161
AGMAT,0.032891947,-0.01021661,-0.008465236,0.000123033,-0.007146159,0.028796138,-0.017106671,0.011797583,-0.01248381,0.004897101,0.002382805,0.005953445,-0.018067053,0.011019797,0.017847165,0.002358062
