Row,cCD_PC1,cCD_PC2,cCD_PC3,cCD_PC4,cCD_PC5,cCD_PC6,cCD_PC7,cCD_PC8,cCD_PC9,cCD_PC10,cCD_PC11,cCD_PC12,cCD_PC13,cCD_PC14,cCD_PC15,cCD_PC16
ACE,0.010454218,0.015801041,-0.012310585,-0.003892078,-0.005460326,-0.011772452,0.029294288,0.011851195,-0.031672489,0.017594622,0.019253139,-0.001274143,0.025077817,0.035951424,0.029784768,0.005603599
ACE2,-0.005305021,-0.014539548,0.018757721,-0.021137798,-0.014698586,-0.011583857,0.012460896,0.011923972,0.008282025,0.021162629,0.030213683,0.044561064,0.00964378,0.02688589,0.021183269,0.003632327
ACER2,-0.006943419,0.023936042,0.011160735,-0.017178903,0.004992739,-0.005723178,0.009032604,0.002156247,0.021345579,-0.029105401,-0.037631965,0.01736385,0.012601756,-0.000297873,-0.038515405,-0.007059148
ACLY,-0.014132611,0.015027742,0.030864373,0.004039582,0.007244221,0.031370114,-0.010580579,8.77E-05,-0.018248689,-0.023643649,-0.026015235,0.000343382,-0.002448283,0.035251566,-0.004212119,-0.011251398
ACOT12,0.022585854,-0.003361715,-0.002350056,0.024881831,0.024671079,-0.014879897,0.010934795,0.014143892,-0.00855366,-0.012512208,-0.011173638,-0.001769942,-0.003583564,-0.02800516,-0.011940543,-0.039863384
ACOT4,0.034576585,0.008390766,0.007842031,0.010816842,-0.020479107,0.005397537,-0.011813686,0.014949371,-0.014365234,-0.011098589,0.006279388,-0.001364703,-0.011086178,-0.001111796,-0.007146001,-0.006704976
ACOT7,-0.001361203,-0.008311004,0.013989268,-0.015613344,-0.043115347,0.00854996,0.001963368,-0.00419483,-0.044368959,-0.002803628,-0.006011023,-0.031223348,-0.009246579,-0.008385979,-0.018228167,-0.019530208
ACOX2,0.033388504,0.010994741,-0.019995817,-0.012780437,-0.00369929,-0.010318011,-0.000879117,-0.0007349,-0.015544888,-0.003635737,-0.008483819,0.004414211,0.006985758,0.027007411,0.007513225,-0.01083342
ACP6,-0.000246843,0.025729061,0.009977094,0.009678368,-0.000328891,-0.021852491,-0.035786517,-0.013232717,0.010116893,-0.028057863,0.025456024,-0.009876844,0.009601696,-0.023933312,0.010790745,0.003518825
ACPP,-0.012978251,-0.017068812,0.019048836,-0.042003376,0.011994581,0.008960792,0.001605829,-0.002146799,0.021153413,0.003531407,0.001796111,0.005344112,0.011749931,0.030731907,-0.016435315,-0.012051049
ACSL3,-0.005207152,-0.028516523,0.036315793,-0.012612057,0.015765072,0.018321835,-0.005001953,-0.011313172,0.0006146,-0.010985093,-0.002968623,-0.007815475,-0.008910474,0.020486195,-0.003606807,-0.019127882
ACSL4,-0.030056178,-0.008660774,-0.033923828,0.00442086,-0.000699261,0.022377748,-0.001939267,-0.014965781,0.013429967,-0.00781936,-0.004755683,0.001049543,0.000371023,-0.000835034,-0.009005947,-0.005700544
ACSL5,0.032447351,-0.015625407,-0.005317328,-0.012766609,-0.008339527,-0.019667442,0.008324565,0.00168034,0.008205011,0.008995582,-0.001986415,-0.009954064,0.018092219,0.001430062,-0.009949356,0.009820757
ACSM3,0.013174686,-0.022971648,0.029117118,0.000863192,0.002975232,0.004983798,0.000290606,-0.007226862,-0.006013564,-0.019425952,0.003116561,-0.020957444,-0.0181448,0.021669419,-0.006836881,-0.002676438
ACTB,-0.009280624,0.028316926,0.010411366,0.009210243,-0.032381719,-0.031954072,-0.003483505,0.022043686,0.005151177,0.021661188,-0.010057568,-0.002601596,-0.013990721,0.016882037,0.016358494,0.001974091
ADA,-0.034692708,0.005836832,-0.017107972,-0.004542715,-0.011506293,0.013429082,0.000589803,-0.019878259,-0.014253189,0.014409715,-0.010637276,-0.006658964,-0.012035077,0.002090474,-0.000602917,-0.000906964
