NAME,DESCRIPTION,NI_V_1,NI_V_2,NI_V_3,NI_V_4,NI_V_5,NI_MKI_1,NI_MKI_2,NI_MKI_3,NI_MKI_4,NI_MKI_5
ENSMUSG00000067878,NA,2.057828383,2.143903937,1.816677592,0.94968901,1.013767156,5.129130565,2.848935044,0.884076964,1.570826237,0
ENSMUSG00000067882,NA,0.756045718,0,0,0,0,0.883831004,1.105380671,0,0.950502404,0
ENSMUSG00000067889,NA,13.06986108,9.853766493,9.510043593,2.200878998,8.931511748,27.42684735,3.218860155,10.18950433,7.312298138,19.32109778
ENSMUSG00000067916,NA,157.7501718,52.48575869,150.0458969,347.8562984,161.1631741,98.58485449,40.30090764,33.88749172,140.3950688,28.75417981
ENSMUSG00000067924,NA,102.7522788,142.7903492,60.37726752,69.8327884,75.08425402,70.27086903,66.62876542,76.57964752,63.20770364,98.28281481
ENSMUSG00000067925,NA,160.1553595,261.9553935,98.58897949,106.5116421,80.62190768,133.2217091,116.1852378,100.5331167,132.7619341,104.6297748
ENSMUSG00000067928,NA,55.90181222,38.10437013,72.46335003,63.32015898,67.36949858,59.78814614,73.7530417,47.09693873,78.00951486,59.97881142
ENSMUSG00000067929,NA,12.35959914,9.406930463,5.202773445,18.82267182,6.840922633,5.274677126,12.05347083,5.013753605,5.660895759,5.517689488
ENSMUSG00000067931,NA,108.6701255,104.7091561,91.10702216,133.6508941,128.5156776,147.1607665,119.9551855,134.904416,99.73715586,131.9513762
ENSMUSG00000067942,NA,144.8716444,149.7342347,157.798082,223.0511131,153.9769244,124.0989761,152.7575057,132.4934002,150.7907952,142.6633442
ENSMUSG00000067951,NA,3.111780459,3.297477979,3.066229715,0,1.18684652,2.687518394,3.351492235,0,0,0
ENSMUSG00000067995,NA,191.7218629,202.7510622,229.1935668,412.7105414,239.1780172,238.1739608,282.1220057,239.1926645,291.096388,199.0402116
ENSMUSG00000068011,NA,677.4004152,782.4845889,713.6462826,1847.629978,757.9109418,653.735391,1151.073265,912.7809102,1175.741102,681.5471584
ENSMUSG00000068015,NA,135.1394632,140.5509035,111.8472186,85.07190152,76.17170786,104.5966354,82.65053084,70.96056745,82.68918723,100.955074
ENSMUSG00000068036,NA,1403.177301,1362.256583,1681.093558,583.2127645,1070.036274,1841.94275,816.121977,2197.591463,662.3842477,2142.639001
ENSMUSG00000068039,NA,1859.358602,1781.870447,2006.059351,2807.671168,2406.874981,2287.660334,2889.784616,1981.99629,2945.94089,2095.397821
ENSMUSG00000068040,NA,823.5628741,620.5468748,843.5261709,402.8522714,729.5979743,908.7854749,369.2053938,673.2157132,468.4076922,783.1284986
ENSMUSG00000068079,NA,7.520820065,14.35573104,2.196335329,4.499305522,4.435149991,3.130509649,5.415214103,3.20734309,4.56272301,6.29678407
ENSMUSG00000068083,NA,1.540052939,10.82169407,1.049561288,1.107370671,5.653985435,4.30375673,1.110413449,17.95575973,0,6.394793564
ENSMUSG00000068099,NA,0,1.220349489,1.049654439,0,1.146940011,0.856766539,0,0,0.906423884,0.932622135
ENSMUSG00000068101,NA,21.83601957,30.34022327,25.82389041,27.5965124,26.17520648,20.3370661,47.19398176,37.60527334,44.82551622,35.19503251
ENSMUSG00000068105,NA,150.1376765,4.726339115,51.02967643,72.74224852,42.65084088,55.80949543,85.85423581,33.21536812,174.2667824,27.55643354
ENSMUSG00000068114,NA,62.08174067,32.6117282,89.79479136,222.974525,62.25032339,142.1227247,70.44648489,60.33862501,138.5313661,127.7410525
