NAME,DESCRIPTION,I_V_1,I_V_2,I_V_3,I_V_4,I_V_5,I_V_6,I_MKI_1,I_MKI_2,I_MKI_3,I_MKI_4,I_MKI_5,I_MKI_6
ENSMUSG00000082673,NA,0,0,0,0.679378865,0.580493445,0,0.672456473,0,0,0,0,1.337003025
ENSMUSG00000082675,NA,0,0,0,2.129688843,0,0,0.665073684,0.814032254,1.817291523,0,0,0.660697355
ENSMUSG00000082676,NA,0,0,0,1.366046785,0,0,0.668835877,1.66464385,0,3.798771202,0,0.672087688
ENSMUSG00000082687,NA,0,0.64549394,1.051589668,0,0.586073862,1.526680824,0.634941888,1.698644054,0,0,0,0.674927971
ENSMUSG00000082689,NA,0,0.650505141,1.040177923,0.677631992,0,0,0.660811229,0,0,0,0,0.67123924
ENSMUSG00000082691,NA,582.6650255,533.2965949,723.2293641,773.6548528,789.517253,1278.661057,763.5802563,995.3647574,541.536384,583.1226381,540.1683544,1168.726255
ENSMUSG00000082693,NA,20.67521982,9.601057206,31.28262538,32.64704904,28.47633294,47.43913008,22.88936566,20.21246394,14.38527397,9.456931911,39.05344125,48.85577604
ENSMUSG00000082705,NA,0,1.296979674,0,0,1.177587952,4.601299581,0,0.783586896,0,0,1.720310532,2.034181436
ENSMUSG00000082707,NA,4.611102018,1.284830413,1.031990797,0,0,0.747670483,1.366063274,0,0,3.831984429,0,0.661582223
ENSMUSG00000082711,NA,0,1.896211072,0,0.662052204,0.576899888,1.537198692,1.354624387,3.497414117,0,1.838438732,0,1.348434891
ENSMUSG00000082715,NA,0,0,1.04157675,1.35875773,0,2.26821635,0.672456473,0.841235041,0,0,0,0.668501512
ENSMUSG00000082724,NA,18.86496697,5.540547421,5.2483847,0,0,0,0,3.666793604,0,22.57529804,5.269885896,10.02498995
ENSMUSG00000082727,NA,2.37840942,0,0,0,0,0.766529061,0.66233695,1.555920709,0,1.944475965,0,0.684273412
ENSMUSG00000082729,NA,45.01286642,26.9216145,22.97357763,32.6939914,34.91911633,28.04656123,35.73178582,36.26606907,36.01489545,34.07657004,35.70876082,38.8727318
ENSMUSG00000082730,NA,0,0.654521874,0,0,1.775763645,0,0.660005834,0.821069924,0,0,0,0
ENSMUSG00000082741,NA,0,1.278695486,0,0,0,0,0.672456473,0,0,5.667752153,0,0.668501512
ENSMUSG00000082745,NA,2.31391388,0.639347743,0,0.679378865,0.580493445,1.512144233,0,0,0,0,0,0
ENSMUSG00000082746,NA,0,1.278695486,1.04157675,0.679378865,1.16098689,1.512144233,2.68982589,4.206175203,0,0,1.696058432,2.005504537
ENSMUSG00000082755,NA,0,0.627649568,0,0,0,1.540327679,0,0,0,0,0,0
ENSMUSG00000082758,NA,2.328898297,1.291138812,1.018760483,7.671563778,7.264223579,4.688942873,1.889882964,3.164488117,3.633891079,1.864234554,3.443074082,3.404596267
