NAME	DESCRIPTION	I_V_1	I_V_2	I_V_3	I_V_4	I_V_5	I_MKI_1	I_MKI_2	I_MKI_3	I_MKI_4	I_MKI_5	I_MKI_6
ENSMUSG00000071347	NA	18.02037846	11.07795113	10.40788275	15.49912112	22.90640655	24.01161929	29.16314947	31.24461041	19.96305527	24.26037844	40.88505588
ENSMUSG00000071350	NA	54.1853484	82.41020854	78.3314191	70.58943103	74.34071341	71.66315425	45.06477128	69.13757166	59.4068438	56.80509907	68.00495451
ENSMUSG00000071356	NA	7307.77657	16063.81989	52547.55733	10106.72027	12502.50829	4556.185352	8498.238588	13910.71348	5771.317979	6147.540841	4687.698115
ENSMUSG00000071359	NA	291.5720274	306.5529875	377.0600091	424.1790703	264.0540789	253.4394701	309.9549875	221.4709965	176.316347	225.3460819	144.4561388
ENSMUSG00000071362	NA	25.84548844	23.85924359	29.9870789	29.52446069	26.81195619	31.6874514	19.8631681	31.41066912	15.17536245	20.97023807	28.94554897
ENSMUSG00000071369	NA	269.7700668	102.0552639	137.516936	110.202387	155.65813	290.4459953	171.2046915	323.6849159	293.0535806	328.9270109	240.647162
ENSMUSG00000071379	NA	463.4775232	565.4681189	485.9429486	545.8810571	460.8586277	525.6829036	534.5442894	488.0780742	462.6066281	487.200941	412.9821432
ENSMUSG00000071398	NA	6.014329262	4.868404139	3.35397577	7.057590726	0	0	1.251598964	2.809166996	1.758178554	4.614404311	1.135070755
ENSMUSG00000071415	NA	2601.162569	3124.023219	3171.925676	3737.452653	2747.748478	2764.501484	3052.732496	2805.805903	2616.211594	2736.209575	2449.542867
ENSMUSG00000071419	NA	1.987576675	2.011844677	4.181089084	1.114876176	0	0.845468948	3.011058063	0	0	0	0
ENSMUSG00000071424	NA	0	0	0	0	0	0	3.636022097	0.543937601	0	2.209538968	1.092216313
ENSMUSG00000071451	NA	87.67819697	136.0652396	137.8297045	184.8267844	74.60087606	82.99139119	79.51854193	71.83432644	89.60343762	82.04472055	78.35384746
ENSMUSG00000071454	NA	90.61164783	114.4462421	36.07772477	44.70328304	97.10851659	93.19094913	81.25125719	60.93230134	23.80361459	23.88753932	52.0616013
ENSMUSG00000071475	NA	0.651090506	0.983481194	1.030504627	1.094557703	0	0	0.821426895	0	0	0	0
ENSMUSG00000071477	NA	192.3753405	128.5170987	75.67530617	160.9672228	158.4317083	265.6175503	108.9529498	95.34629455	117.6436545	128.6809053	144.3533673
