NAME	DESCRIPTION	NI_V_1	NI_V_2	NI_V_3	NI_V_4	NI_V_5	I_V_1	I_V_2	I_V_3	I_V_4	I_V_5
ENSMUSG00000023075	NA	850.3026404	791.9240918	943.1793638	1332.023826	771.6599486	764.9667742	1225.483141	1080.076981	895.3781809	664.5464846
ENSMUSG00000023078	NA	325.1558621	20.83464009	102.8695283	206.2291619	106.1411655	811.4058396	1488.784588	568.779898	536.3261517	561.2023454
ENSMUSG00000023079	NA	186.0073907	223.5643353	256.2450558	94.43681933	225.200173	294.7873766	227.6619427	196.4020682	66.59252046	156.2333716
ENSMUSG00000023084	NA	0.719451791	0	0	0	0	0	0	0	0	0
ENSMUSG00000023087	NA	5633.189242	3712.151184	6507.479184	8181.630339	5775.735331	4726.846486	5521.156802	5084.221548	5660.491001	5572.539085
ENSMUSG00000023088	NA	141.6689009	104.395107	114.8820051	50.95289048	70.96361152	691.3127091	251.8479544	306.0812542	137.1319325	229.8593265
ENSMUSG00000023089	NA	459.9522209	543.7782365	480.4642637	525.6371503	347.5027819	227.7737451	454.420899	384.3459658	569.9014983	277.3098892
ENSMUSG00000023092	NA	469.2705073	884.3742133	662.1847515	516.4776341	776.1902341	477.9525197	368.6810046	361.8338901	462.0301795	629.3044434
ENSMUSG00000023094	NA	28.00358281	18.97628026	6.023443976	33.14753909	15.65930087	10.17095253	12.47931354	45.37091736	35.20954325	14.39073658
ENSMUSG00000023104	NA	68.71979071	41.00706144	62.71020638	59.02551264	56.63906835	36.28432925	58.97444787	48.17262504	61.68712661	34.98506882
ENSMUSG00000023106	NA	377.71019	383.0756591	306.2645831	391.4736562	284.7298061	419.2244026	460.2065414	443.6538732	418.8364502	370.6388922
ENSMUSG00000023110	NA	323.2978597	258.5734108	455.483693	309.59736	352.4011443	483.8971027	258.8350226	340.9770669	276.549105	319.243745
ENSMUSG00000023118	NA	933.5417906	791.3533301	884.4709935	539.1104598	719.9605799	984.2316296	723.1062889	654.6282788	898.5900648	728.3181825
ENSMUSG00000023120	NA	0	0	0	0	0	0	0	0	0	1.294817504
ENSMUSG00000023122	NA	38.04842831	63.28916047	38.84562071	36.25173821	59.34568833	42.68840235	51.18445787	30.88422286	30.88568075	52.51819323
ENSMUSG00000023132	NA	673.6018314	241.4508816	1200.961276	3038.20345	763.241828	117.7777246	73.81000945	480.8879357	472.2644647	128.1145645
ENSMUSG00000023140	NA	0	1.079151693	0	0	0	0	0	0	0	0
ENSMUSG00000023143	NA	166.4701248	248.9006168	139.4548399	118.0066309	184.8439814	287.3990469	195.4740861	174.2487374	157.5690098	153.3220199
ENSMUSG00000023147	NA	46.5603434	51.66563221	20.96735316	114.9979781	51.00960631	53.85901358	70.38238097	104.4122504	61.71030023	64.00114037
ENSMUSG00000023150	NA	2910.129541	2670.657644	4334.426296	3338.053345	3738.190382	4051.626224	3138.147906	3941.083624	3547.214885	4734.237572
ENSMUSG00000023153	NA	1.224449534	3.760075086	1.452024106	0	1.719314154	0.605228672	0	1.862039811	1.706782975	0
ENSMUSG00000023156	NA	180.0755523	149.9000372	161.3382853	227.1832666	170.8640823	164.0601762	174.0065154	198.4024015	193.3513822	193.6171267
ENSMUSG00000023159	NA	2.173291441	1.046073293	0.956045932	0	0	1.390019856	1.060643141	0	0	1.349248954
ENSMUSG00000023169	NA	616.8003684	566.7948281	442.232118	188.9909785	384.8384824	761.6895873	428.8460398	291.0215571	409.5807713	654.3591
ENSMUSG00000023170	NA	151.2584158	222.4181522	279.7404685	215.688068	255.0670717	229.4282867	208.8508947	144.6452188	331.9269596	169.0405386
ENSMUSG00000023175	NA	5438.616182	6664.075756	6316.980491	10774.04116	7670.894814	4303.076781	6074.52805	7287.332407	7227.802478	4535.39974
ENSMUSG00000023176	NA	1.422927902	1.10757992	0.970422332	3.111676804	3.187719555	0	0	0	0	1.28071712
ENSMUSG00000023186	NA	688.8996181	731.1512147	598.6012159	619.119796	388.0386494	560.2420187	527.0605377	899.2289515	461.2681573	729.6432491
ENSMUSG00000023191	NA	49.40420354	61.26187845	66.55668632	24.65657234	25.6948713	77.0258	75.13714864	50.40004393	56.20384699	129.9549977
ENSMUSG00000023192	NA	2.125933404	0	0	0	1.058187698	0	0	1.109628868	0	0
ENSMUSG00000023206	NA	60.29183481	49.46904593	59.11177038	151.6816092	39.63866165	72.84688655	55.27970865	128.7090073	90.49371546	43.3415807
ENSMUSG00000023216	NA	15.57813359	2.296242619	12.42413602	30.33179012	9.605215657	14.020221	3.088897171	1.271317433	1.379316484	3.118451151
ENSMUSG00000023224	NA	541.5953775	528.6382177	359.2431828	298.8794968	214.7866519	2409.058047	1626.220104	1207.045748	1166.717099	1629.372445
ENSMUSG00000023232	NA	1102.571211	1180.537452	1134.873494	1038.528579	1152.205184	1573.530539	1888.600191	1894.828113	1433.590247	1377.894634
ENSMUSG00000023235	NA	4745.701626	5751.937088	5438.436833	12159.78907	6967.587259	2894.482824	5056.002807	6091.316298	6387.005106	2908.558652
ENSMUSG00000023236	NA	29.53128396	38.50622576	18.12929484	34.98183779	18.03456461	31.07467775	53.38153188	52.3868582	45.08767234	19.49265258
ENSMUSG00000023243	NA	668.0588358	664.9350487	903.9749578	1135.38211	1207.463987	461.8823025	465.4049144	666.2151728	731.2362935	604.9096614
ENSMUSG00000023247	NA	4545.660725	6741.115158	5067.464201	10396.58162	7205.753813	4018.714884	8280.779006	7796.165432	8157.563688	3813.745292
ENSMUSG00000023249	NA	161.2686342	190.6265211	255.2946641	162.33048	154.3460259	367.9033341	283.5796003	257.2499447	169.5565064	196.8066539
ENSMUSG00000023257	NA	0.697167676	0	0.96938899	0	2.157992052	0.702277932	0	0	0	0
ENSMUSG00000023259	NA	2573.899704	3930.113697	2787.929887	3380.521654	3207.602538	817.4243726	1209.184683	1368.708179	1962.738187	1601.331932
ENSMUSG00000023262	NA	92.6569267	123.5768336	233.6691562	153.3730145	221.4128231	63.21798431	102.3315022	41.95075974	100.4697743	47.63511547
ENSMUSG00000023266	NA	15.85127051	13.60768034	12.31621731	14.19225205	17.393152	5.977712215	15.32703427	13.36345561	59.36118231	5.599302811
ENSMUSG00000023267	NA	0	0	3.351434872	0.603582555	1.207450899	0	0	4.389807259	2.380674988	2.451130403
ENSMUSG00000023272	NA	464.850874	468.6270743	967.3096354	1142.557024	433.1300454	774.0888172	541.3004255	847.0015668	712.9111336	513.1520417
ENSMUSG00000023274	NA	158.0339556	108.3717935	130.0275693	67.07778952	88.3528034	316.5812248	216.4742369	145.85699	91.7270854	262.3948883
ENSMUSG00000023277	NA	139.0718642	154.8734793	137.7690345	239.2302445	112.0513346	278.8146221	285.7633693	239.3329288	310.5158954	178.3516429
ENSMUSG00000023279	NA	0.716638588	0	0	0	0	0	1.073498113	0	0	0
ENSMUSG00000023284	NA	32.35922227	22.21802381	32.60124889	30.59346426	30.94043992	31.07151673	25.86558548	20.52552458	35.54984494	33.30375918
ENSMUSG00000023286	NA	613.3916856	780.5253271	663.1563204	873.8093901	835.2432736	515.7113124	717.2313243	770.9889478	738.1838907	513.1892439
ENSMUSG00000023307	NA	655.0606302	802.889108	724.3584431	777.0318064	816.39107	532.994175	693.6004211	579.4482616	545.0306805	546.7866751
ENSMUSG00000023328	NA	38.37674265	62.37836915	39.16786464	18.05393976	26.58675159	27.16565925	22.80543739	20.06283752	24.92057831	37.32429403
ENSMUSG00000023330	NA	30.15626583	37.67625297	42.17792175	61.35101044	37.81487739	41.42911859	43.19182175	61.49381843	48.87827545	46.56752649
ENSMUSG00000023333	NA	0.706462248	2.195019497	0.963392344	1.026137341	1.051247376	1.406749142	4.335543913	0	2.308543782	0
ENSMUSG00000023336	NA	92.41972234	137.7387952	48.38409104	58.54418368	35.56976412	42.20094881	76.6360874	53.97643418	63.48272411	49.2141381
ENSMUSG00000023341	NA	11.60084048	31.37376532	17.09885052	53.14929748	10.31418779	12.05663908	7.683124127	9.5807296	18.6173507	3.102187458
ENSMUSG00000023345	NA	10.22104318	29.9942168	10.3392667	8.593025673	21.82323953	32.23377835	18.94437454	53.40295167	8.129274601	75.04881257
