NAME,DESCRIPTION,NI_V_1,NI_V_2,NI_V_4,NI_V_6,NI_V_7,I_V_1,I_V_2,I_V_3,I_V_4,I_V_5,I_V_6
ENSMUSG00000067158,NA,0.906461569,3.025384341,4.765087319,4.787058447,2.140475146,24.22248773,1.346337857,7.662791348,0.720776605,0.602853258,0.808826722
ENSMUSG00000067161,NA,10.82637741,9.809078744,10.45607446,13.22034163,17.39030302,8.313826551,18.49685517,25.02304366,12.36304773,13.87656764,9.965598177
ENSMUSG00000067194,NA,1877.157135,1785.510491,1573.275149,1538.65856,1674.966329,1997.017699,1675.787023,1417.19888,2194.109988,2098.558556,2583.670025
ENSMUSG00000067199,NA,352.662476,204.4841789,257.2491738,294.1684798,173.9487409,147.6152424,182.6726743,431.4379998,116.5369437,152.9107859,170.1847323
ENSMUSG00000067201,NA,1.009204894,1.684586056,0,0,0,8.785901224,0,6.348002034,0,0.738895359,5.498582726
ENSMUSG00000067203,NA,0,0,16.84888683,2.352780925,4.047621767,0,2.247332957,0,9.727424969,3.398846943,2.890872699
ENSMUSG00000067206,NA,670.0436683,493.9603044,351.0866992,918.767236,1023.374473,1135.285787,769.9026436,1131.489137,745.1969661,1125.423645,465.1723782
ENSMUSG00000067212,NA,5177.891809,4075.819192,7381.73092,5154.136151,7011.824295,5836.676308,6989.488511,15312.29937,6202.316469,7334.796198,16414.73193
ENSMUSG00000067215,NA,1.06247258,0.888632229,1.096857287,0.800852257,1.675741767,0,0,1.219647398,0,0,0
ENSMUSG00000067219,NA,526.2773818,559.8275144,579.9378587,754.0305603,775.0286855,1039.241405,859.5321615,3810.889791,1076.217288,943.843249,1166.136815
ENSMUSG00000067224,NA,8.79717686,8.174448293,0,11.62422845,11.57583155,0,5.310178094,6.310507199,20.4610886,13.56279148,19.53442551
ENSMUSG00000067229,NA,0,0,0,0,0,5.64202674,0.793873021,88.68054316,0,0,0
ENSMUSG00000067231,NA,89.62845132,106.672674,123.7339169,787.937173,477.5910802,108.2769659,378.8700039,2973.351448,30.23963209,18.21610227,23.61751128
ENSMUSG00000067235,NA,13.12589909,162.542187,102.2104726,114.095959,393.5113914,287.6381531,171.2786838,117.4505353,310.3415763,295.0108966,560.6249038
ENSMUSG00000067242,NA,4.389421653,0,14.46152075,4.473686148,4.143858758,29.67973858,4.865005936,0,4.778196817,0,0
ENSMUSG00000067261,NA,11.00038176,15.04798195,39.0214652,11.40934747,10.15355744,13.07886019,3.61962513,14.18073963,3.889040438,8.867804018,5.026825178
ENSMUSG00000067274,NA,50878.2145,37850.38469,55773.83463,36023.94795,30709.33291,38004.19963,37587.3513,36039.25271,35089.49212,38925.06106,67928.75078
ENSMUSG00000067276,NA,13.54992536,15.60886047,10.91853766,41.2146693,24.57375231,20.11899681,9.457752242,4.84842717,13.53407992,9.934390146,2.746406361
ENSMUSG00000067279,NA,162.6511349,123.1285126,100.621265,95.37806667,53.49748525,105.6963715,103.6104143,51.22336863,53.87683121,75.74794313,98.26155209
ENSMUSG00000067288,NA,3813.802779,3155.242024,6664.992395,2609.564233,2078.208686,2737.584488,2647.522667,2346.721135,2282.046771,2471.428954,5632.023878
ENSMUSG00000067292,NA,0,0,0,0,0,0,0,0,0.831511025,0,0.92416912
ENSMUSG00000067297,NA,481.407826,315.2060952,589.2320203,372.9081538,312.4125933,310.2489207,152.1534319,7850.526426,95.64001257,80.11040007,242.9880408
ENSMUSG00000067321,NA,0.987641599,0,0,0,2.53099662,0,0.783298075,0,0,2.148188399,2.820672696
ENSMUSG00000067336,NA,1470.375438,1377.337857,651.1561673,1051.261322,927.8794034,1480.243676,669.0780552,817.7868468,644.0001108,640.0142624,230.7303906
ENSMUSG00000067341,NA,6.169469301,6.815724243,3.05956183,3.206822254,21.38994228,34.36058102,28.79801259,4.947000709,33.08649991,29.9024168,15.42044633
ENSMUSG00000067344,NA,13.6822176,0,7.739257048,9.586867797,12.59708863,5.738881054,11.69571921,0,18.52589913,6.415082366,14.0388429
ENSMUSG00000067365,NA,471.1086203,491.1498199,913.3820287,442.8175611,585.4384829,741.6646067,566.8618096,604.7090153,721.1161934,755.5848437,1555.279479
ENSMUSG00000067367,NA,302.218791,376.1547791,498.2666805,293.9132579,595.2480958,460.9991109,522.1360176,425.6193864,490.7055805,763.269312,745.8946886
ENSMUSG00000067369,NA,608.6006183,801.6998237,794.3029039,830.8222594,660.6761951,505.6019115,673.5815266,681.3033603,604.19903,619.8828472,552.5819771
ENSMUSG00000067370,NA,170.6005347,156.2598244,185.7007769,118.702806,118.4293226,190.6394421,141.1290017,271.047548,150.9966881,128.8185854,234.3941615
ENSMUSG00000067377,NA,120.3074452,98.04991991,75.39112443,154.3491598,94.60375167,165.8925617,79.21429894,34.88434281,55.65760368,44.09672529,82.70714488
ENSMUSG00000067424,NA,126.6164877,74.72960388,55.554817,194.1385005,121.71323,101.8830036,49.83158955,171.210667,147.7540444,103.5276429,114.0213001
ENSMUSG00000067430,NA,132.154648,77.01228583,85.32811626,113.0054996,83.93429413,60.4339166,112.1749085,149.5243291,65.83665817,77.77014807,44.16303685
ENSMUSG00000067455,NA,13.90868456,16.0947581,28.82162045,5.529658901,5.804774029,2.659079536,4.594649866,2.524600929,0.821027673,1.383781881,4.739785666
ENSMUSG00000067547,NA,227.2357744,463.9525784,691.0412806,309.4715946,303.93352,204.9606134,299.9470405,215.4664193,413.5361426,442.9275892,480.7019556
ENSMUSG00000067555,NA,0,0,0,0,0,0,0.769922607,0,0,0,0.92416912
ENSMUSG00000067567,NA,113.3638976,104.7936264,126.8719454,154.2701044,98.27374223,155.6507129,133.5827591,78.98856992,128.712092,120.0856027,113.2016682
ENSMUSG00000067571,NA,1.094906449,0,2.31079133,0.77786741,3.310789278,0,0.767543599,2.523441786,4.119988842,1.356968653,3.637756865
ENSMUSG00000067575,NA,2791.561341,2128.882426,4192.750347,1486.305568,1225.375059,1307.846194,1637.215995,1468.183748,1592.790598,1654.671071,3866.308608
